tmdbID,movie_title,release_date,poster_url,budget,overview,Unnamed: 6,Unnamed: 7,vote_average,keywords,genre,director,cast
1274324,Wild Flower Garland,19/4/2024,https://image.tmdb.org/t/p/w500/l7HhNtMh0z5y83eQaC5DBWk1yEm.jpg,0,"The film represents a “Katha Mala”, a chain of stories of a house and its people as narrated by the house.",,,0,,Drama,P.J. Udayraj,
263622,Reunited in Malaysia,22/2/2013,https://image.tmdb.org/t/p/w500/7IOd5TS2ciWjyRRFio9eojOfTgP.jpg,0,"A German diving instructor, Tom Broder, falls in love with the natural beauty of Malaysia - and with a courageous Malaysian biologist and environmentalist, Sarifah Bt. Ismail, fighting with her to prevent an unscrupulous hotel owner from constructing a holiday resort on a nature reserve where turtles are preserved from extinction. Then, when his elder brother, Kai, and his family turn up unexpectedly, the diving instructor is confronted with his past... because the woman his brother married was once the love of his life, until she chose the other brother. Since then the two of them haven't said a single word to each other. Now the older brother announces that he wants them to be reconciled. Nobody realises at this stage that he is up to his neck in debt and plans to fake his death in Malaysia, so he can begin a new life.",,,5.7,,"TV Movie, Drama",Helmut Metzger,"Leonie Brill, Robert Giggenbach, Stephan Luca, Kathy Fauziah, Raven Hanson"
1152624,3 Days in Malay,11/8/2023,https://image.tmdb.org/t/p/w500/r36anknVA1bO1MgLBbrlqvuo4xw.jpg,0,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",,,5.5,,"Action, Adventure, War",Louis Mandylor,"Louis Mandylor, Donald Cerrone, Quinton Jackson, Peter Dobson, Ryan Francis"
74605,The Pirates of Malaysia,16/10/1964,https://image.tmdb.org/t/p/w500/22fIERshbW1b2MQvva0WPpDcgqd.jpg,0,"Filmed in Singapore it tells the story of Sandokan who is a Malaysian rebel who, with a group of renegades, goes up against a British General who is trying to force the King to resign.",,,4.5,"rebellion, malaysia, pirate, 19th century",Action,Umberto Lenzi,"Steve Reeves, Jacqueline Sassard, Mimmo Palmara, Andrea Bosic, Nando Gazzolo"
43962,Malaya,27/12/1949,https://image.tmdb.org/t/p/w500/ux3vUiB4lXhDhQq5AuPnMyjDkLM.jpg,0,"After living abroad for several years, journalist John Royer returns to the United States just after the U.S. enters World War II. His boast that he could easily smuggle rubber, a key wartime natural resource, out of Malaya has him tasked with doing just that. He manages to get someone from his past, Carnaghan, sprung from Alactraz and together they head off to South East Asia posing as Irishmen. Once there, Carnaghan lines up some of his old cronies and with Royer and a few plantation owners plans to smuggle the rubber out from under the Japanese army's watchful eye.",,,6.538,"world war ii, alcatraz prison, reporter, malaya, 1940s","Adventure, Drama",Richard Thorpe,"Spencer Tracy, James Stewart, Valentina Cortese, Sydney Greenstreet, John Hodiak"
1057103,Coast Guard Malaysia: Ops Helang,2/2/2023,https://image.tmdb.org/t/p/w500/6U1gXOKQjCkgVUic6uSEKKunFZr.jpg,0,"Hafiz, a Malaysian Coast Guard officer, is celebrating his engagement at a beach resort with his fiancee. Out of nowhere, a group of terrorists hijack the hotel and kidnap his fiancee and her family. Several guests are taken as hostages, while the others are brutally killed. Hafiz manages to escape with only a few injuries, and he quickly sets up a search-and-rescue mission to get everyone back safely.",,,2,,Action,Pitt Hanif,"Saharul Ridzwan, Adlin Aman Ramlie, Julia Farhana Marin, Hazama Azmi, Sabri Yunus"
102884,The War at Sea from Hawaii to Malaya,2/12/1942,https://image.tmdb.org/t/p/w500/wGwL8YGzr1NnaWtUOt5hj5WaLgF.jpg,0,Japanese Navy air cadets train for the attacks on Pearl Harbor and the HMS Prince of Wales.,,,0,"fighter pilot, pearl harbor, pacific war, military training","Drama, History, War",Kajirō Yamamoto,"Denjirō Ōkōchi, Yataro Kurokawa, Setsuko Hara, Kaoru Itō, Akira Nakamura"
892618,Operation Malaya,17/9/1953,https://image.tmdb.org/t/p/w500/dCSvtH2HR3xFevcKk77U9dxayhV.jpg,0,Docudrama recreating events in the Malayan Emergency,,,0,,Drama,David MacDonald,"John Humphry, Malcolm MacDonald, Chips Rafferty, John Slater, Wynford Vaughan-Thomas"
465146,Oru Malayalam Colour Padam,17/3/2017,https://image.tmdb.org/t/p/w500/6WxsV3fdvqqKuCkYoWNVzgaik9L.jpg,0,'Oru Malayalam Colour Padam' tells a tale of a guy who decided to turn a gentleman overnight!,,,10,,Drama,Ajith Nambyar,"Manu Bhadran, KPAC Lalitha, Anjali Aneesh Upasana, Jose, Nirmal Palazhi"
700502,Malaya,28/5/2020,https://image.tmdb.org/t/p/w500/mKmNyiEtO3wDPEoAu7Z690QT0Qz.jpg,0,"Stuck at a crossroad, will Malaya fight for the love she found, or will she choose to set her heart free?",,,3.8,,"Adventure, Drama",Richard Thorpe,"Spencer Tracy, James Stewart, Valentina Cortese, Sydney Greenstreet, John Hodiak"
